GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
assessment,com.MedilaboSolutions.assessment,AssessmentApplication,5,3,0,0,2,1,1,1,1,1
assessment,com.MedilaboSolutions.assessment.controller,AssessmentController,0,175,0,0,0,38,0,10,0,10
assessment,com.MedilaboSolutions.assessment.controller,AssessmentSseController,61,99,0,4,13,28,4,9,4,7
assessment,com.MedilaboSolutions.assessment.service,PdfService,99,329,9,15,21,66,7,9,0,4
assessment,com.MedilaboSolutions.assessment.service,RagIngestionService,6,77,0,0,2,22,0,4,0,4
assessment,com.MedilaboSolutions.assessment.service,AiAssessmentService,0,298,0,20,0,75,0,15,0,5
assessment,com.MedilaboSolutions.assessment.service,AiSummarizerService,0,114,0,4,0,23,0,7,0,5
assessment,com.MedilaboSolutions.assessment.service,AssessmentService,59,566,11,25,9,123,14,22,3,15
